Text Type,API Name,File Name,Dataset,ai_score,human_score,Error_message
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,0.9993,0.0007,
AI,Originality,,Fake TOEFL - GPT4 - PE,0.9999,9.9999999999989e-05,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,0.9998,0.0001999999999999,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,0.9999,9.9999999999989e-05,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,0.9999,9.9999999999989e-05,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,0.9997,0.0002999999999999,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
AI,Originality,,Fake TOEFL - GPT4 - PE,1.0,0.0,
